,AWB Code,Order ID,Charged Weight,Warehouse Pincode_x,Customer Pincode,Zone_x,Type of Shipment,Billing Amount (Rs.),ExternOrderNo,Order Qty,Weight (g),Total_Weight,X_Charged_Weight_KG,Warehouse Pincode_y,Zone_y,Zone,Weight Slabs,Forward Fixed Charge,Forward Additional Weight Slab Charge,RTO Fixed Charge,RTO Additional Weight Slab Charge,X_price
163,1091117958163,2001811306,1.1,121003,302017,d,Forward charges,135.0,2001811306,4.0,945,945.0,0.945,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
164,1091117958163,2001811306,1.1,121003,302017,d,Forward charges,135.0,2001811306,4.0,945,945.0,0.945,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
165,1091118442390,2001812195,0.67,121003,302012,d,Forward charges,90.2,2001812195,3.0,500,500.0,0.5,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
166,1091118442390,2001812195,0.67,121003,302012,d,Forward charges,90.2,2001812195,3.0,500,500.0,0.5,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
167,1091118551656,2001812941,0.73,121003,325207,d,Forward charges,90.2,2001812941,3.0,500,500.0,0.5,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
168,1091117614452,2001809383,0.5,121003,303702,d,Forward and RTO charges,86.7,2001809383,3.0,607,607.0,0.607,121003,b,b,1.0,33.0,28.3,20.5,28.3,53.5
169,1091120922803,2001820978,0.5,121003,313301,d,Forward charges,45.4,2001820978,2.0,515,515.0,0.515,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
170,1091121844806,2001811475,0.5,121003,173212,b,Forward charges,33.0,2001811475,4.0,689,689.0,0.689,121003,e,e,2.0,56.6,55.5,50.7,55.5,56.6
171,1091121844806,2001811475,0.5,121003,173212,b,Forward charges,33.0,2001811475,4.0,689,689.0,0.689,121003,e,e,2.0,56.6,55.5,50.7,55.5,56.6
172,1091121846136,2001811305,0.5,121003,302020,d,Forward charges,45.4,2001811305,4.0,750,750.0,0.75,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
173,1091121846136,2001811305,0.5,121003,302020,d,Forward charges,45.4,2001811305,4.0,750,750.0,0.75,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
