,AWB Code,Order ID,Charged Weight,Warehouse Pincode_x,Customer Pincode,Zone_x,Type of Shipment,Billing Amount (Rs.),ExternOrderNo,Order Qty,Weight (g),Total_Weight,X_Charged_Weight_KG,Warehouse Pincode_y,Zone_y,Zone,Weight Slabs,Forward Fixed Charge,Forward Additional Weight Slab Charge,RTO Fixed Charge,RTO Additional Weight Slab Charge,X_price
104,1091121031745,2001821679,0.2,121003,307026,d,Forward charges,45.4,2001821679,1.0,165,165.0,0.165,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
105,1091121034114,2001821742,0.15,121003,327025,d,Forward charges,45.4,2001821742,1.0,240,240.0,0.24,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
106,1091121034350,2001821750,0.8,121003,313333,d,Forward charges,90.2,2001821750,3.0,755,755.0,0.755,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
107,1091121034641,2001821766,0.2,121003,313001,d,Forward charges,45.4,2001821766,2.0,120,240.0,0.24,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
108,1091121034641,2001821766,0.2,121003,313001,d,Forward charges,45.4,2001821766,2.0,120,240.0,0.24,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
109,1091121034641,2001821766,0.2,121003,313001,d,Forward charges,45.4,2001821766,2.0,120,240.0,0.24,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
110,1091121034641,2001821766,0.2,121003,313001,d,Forward charges,45.4,2001821766,2.0,120,240.0,0.24,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
111,1091121183730,2001821995,0.5,121003,342008,d,Forward charges,45.4,2001821995,2.0,477,477.0,0.477,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
112,1091121185863,2001821502,0.6,121003,314401,d,Forward charges,90.2,2001821502,5.0,334,558.0,0.558,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
113,1091121305541,2001822466,1.1,121003,342301,d,Forward charges,135.0,2001822466,10.0,352,1376.0,1.376,121003,b,b,1.0,33.0,28.3,20.5,28.3,61.3
114,1091121306101,2001820690,0.15,121003,313003,d,Forward charges,45.4,2001820690,1.0,65,65.0,0.065,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
115,1091118004245,2001811604,0.8,121003,173212,b,Forward charges,61.3,2001811604,4.0,481,721.0,0.721,121003,e,e,2.0,56.6,55.5,50.7,55.5,56.6
116,1091118004245,2001811604,0.8,121003,173212,b,Forward charges,61.3,2001811604,4.0,481,721.0,0.721,121003,e,e,2.0,56.6,55.5,50.7,55.5,56.6
117,1091120352712,2001819252,0.3,121003,174101,b,Forward charges,33.0,2001819252,3.0,270,270.0,0.27,121003,e,e,2.0,56.6,55.5,50.7,55.5,56.6
118,1091122418320,2001827036,1.6,121003,173213,b,Forward charges,117.9,2001827036,9.0,1539,1676.0,1.676,121003,e,e,2.0,56.6,55.5,50.7,55.5,56.6
119,1091117222360,2001806304,0.71,121003,302017,d,Forward charges,90.2,2001806304,3.0,500,500.0,0.5,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
120,1091117222360,2001806304,0.71,121003,302017,d,Forward charges,90.2,2001806304,3.0,500,500.0,0.5,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
121,1091117222360,2001806304,0.71,121003,302017,d,Forward charges,90.2,2001806304,3.0,500,500.0,0.5,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
122,1091117222360,2001806304,0.71,121003,302017,d,Forward charges,90.2,2001806304,3.0,500,500.0,0.5,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
123,1091117222360,2001806304,0.71,121003,302017,d,Forward charges,90.2,2001806304,3.0,500,500.0,0.5,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
124,1091117227116,2001806768,1.02,121003,322201,d,Forward charges,135.0,2001806768,4.0,210,840.0,0.84,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
125,1091117228133,2001806823,0.59,121003,314001,d,Forward charges,90.2,2001806823,1.0,127,127.0,0.127,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
126,1091117228192,2001806828,0.69,121003,331022,d,Forward charges,90.2,2001806828,3.0,500,500.0,0.5,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
127,1091117229183,2001806968,0.68,121003,305801,d,Forward charges,90.2,2001806968,3.0,500,500.0,0.5,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
